frWrd,brWrd,cbWrd,test
humide,images/br_humide.png,images/cb_humide.png,false
huître,images/br_huitre.png,images/cb_huitre.png,false
idéal,images/br_ideal.png,images/cb_ideal.png,false
ignores,images/br_ignores.png,images/cb_ignores.png,false
injuste,images/br_injuste.png,images/cb_injuste.png,true
irrité,images/br_irrite.png,images/cb_irrite.png,false
jardin,images/br_jardin.png,images/cb_jardin.png,false
joue,images/br_joue.png,images/cb_joue.png,false
jusqu,images/br_jusqu.png,images/cb_jusqu.png,false
lagune,images/br_lagune.png,images/cb_lagune.png,false
lampes,images/br_lampes.png,images/cb_lampes.png,false
limace,images/br_limace.png,images/cb_limace.png,false
lisez,images/br_lisez.png,images/cb_lisez.png,false
livre,images/br_livre.png,images/cb_livre.png,false
locale,images/br_locale.png,images/cb_locale.png,false
louche,images/br_louche.png,images/cb_louche.png,false
loutres,images/br_loutres.png,images/cb_loutres.png,false
lèvre,images/br_levre.png,images/cb_levre.png,false
lésion,images/br_lesion.png,images/cb_lesion.png,false
macaque,images/br_macaque.png,images/cb_macaque.png,false
mairie,images/br_mairie.png,images/cb_mairie.png,true
marquée,images/br_marquee.png,images/cb_marquee.png,false
marrer,images/br_marrer.png,images/cb_marrer.png,false
masque,images/br_masque.png,images/cb_masque.png,false
mer,images/br_mer.png,images/cb_mer.png,false
merle,images/br_merle.png,images/cb_merle.png,false
mis,images/br_mis.png,images/cb_mis.png,true
meubles,images/br_meubles.png,images/cb_meubles.png,false
midi,images/br_midi.png,images/cb_midi.png,false
minutes,images/br_minutes.png,images/cb_minutes.png,true
mirage,images/br_mirage.png,images/cb_mirage.png,true
mon,images/br_mon.png,images/cb_mon.png,false
mot,images/br_mot.png,images/cb_mot.png,false
mouton,images/br_mouton.png,images/cb_mouton.png,false
muté,images/br_mute.png,images/cb_mute.png,false
mère,images/br_mere.png,images/cb_mere.png,false
métal,images/br_metal.png,images/cb_metal.png,false
météo,images/br_meteo.png,images/cb_meteo.png,false
nagé,images/br_nage.png,images/cb_nage.png,false
née,images/br_nee.png,images/cb_nee.png,false
neuf,images/br_neuf.png,images/cb_neuf.png,false
nez,images/br_nez.png,images/cb_nez.png,false
noir,images/br_noir.png,images/cb_noir.png,false
nom,images/br_nom.png,images/cb_nom.png,false
nombre,images/br_nombre.png,images/cb_nombre.png,false
nuit,images/br_nuit.png,images/cb_nuit.png,true
nul,images/br_nul.png,images/cb_nul.png,false
occupez,images/br_occupez.png,images/cb_occupez.png,false
offre,images/br_offre.png,images/cb_offre.png,false
oiseaux,images/br_oiseaux.png,images/cb_oiseaux.png,false
onde,images/br_onde.png,images/cb_onde.png,true
onze,images/br_onze.png,images/cb_onze.png,false
orbite,images/br_orbite.png,images/cb_orbite.png,false
oui,images/br_oui.png,images/cb_oui.png,false
ouvrir,images/br_ouvrir.png,images/cb_ouvrir.png,false
pages,images/br_pages.png,images/cb_pages.png,false
panier,images/br_panier.png,images/cb_panier.png,false
panique,images/br_panique.png,images/cb_panique.png,false
par,images/br_par.png,images/cb_par.png,false
parcs,images/br_parcs.png,images/cb_parcs.png,false
parce,images/br_parce.png,images/cb_parce.png,false
parfums,images/br_parfums.png,images/cb_parfums.png,false
pas,images/br_pas.png,images/cb_pas.png,false
pavé,images/br_pave.png,images/cb_pave.png,false
payant,images/br_payant.png,images/cb_payant.png,false
pensée,images/br_pensee.png,images/cb_pensee.png,false
perdus,images/br_perdus.png,images/cb_perdus.png,false
petits,images/br_petits.png,images/cb_petits.png,false
peu,images/br_peu.png,images/cb_peu.png,false
pied,images/br_pied.png,images/cb_pied.png,false
pierre,images/br_pierre.png,images/cb_pierre.png,false
pièces,images/br_pieces.png,images/cb_pieces.png,false
plants,images/br_plants.png,images/cb_plants.png,false
poche,images/br_poche.png,images/cb_poche.png,false
porc,images/br_porc.png,images/cb_porc.png,false
portée,images/br_portee.png,images/cb_portee.png,false
posé,images/br_pose.png,images/cb_pose.png,true
poudre,images/br_poudre.png,images/cb_poudre.png,false
poulet,images/br_poulet.png,images/cb_poulet.png,false
preuve,images/br_preuve.png,images/cb_preuve.png,false
présent,images/br_present.png,images/cb_present.png,false
prêt,images/br_pret.png,images/cb_pret.png,false
pâtés,images/br_pates.png,images/cb_pates.png,true
père,images/br_pere.png,images/cb_pere.png,false
quai,images/br_quai.png,images/cb_quai.png,false
quant,images/br_quant.png,images/cb_quant.png,false
quel,images/br_quel.png,images/cb_quel.png,false
quelque,images/br_quelque.png,images/cb_quelque.png,false
quinze,images/br_quinze.png,images/cb_quinze.png,false
rangé,images/br_range.png,images/cb_range.png,false
rare,images/br_rare.png,images/cb_rare.png,false
regards,images/br_regards.png,images/cb_regards.png,false
rend,images/br_rend.png,images/cb_rend.png,false
restons,images/br_restons.png,images/cb_restons.png,false
resto,images/br_resto.png,images/cb_resto.png,false
ris,images/br_ris.png,images/cb_ris.png,false
risquez,images/br_risquez.png,images/cb_risquez.png,false
roi,images/br_roi.png,images/cb_roi.png,false
routes,images/br_routes.png,images/cb_routes.png,false
règle,images/br_regle.png,images/cb_regle.png,false
réduits,images/br_reduits.png,images/cb_reduits.png,false
régime,images/br_regime.png,images/cb_regime.png,false
réponse,images/br_reponse.png,images/cb_reponse.png,false
réussit,images/br_reussit.png,images/cb_reussit.png,false
rêvé,images/br_reve.png,images/cb_reve.png,false
sage,images/br_sage.png,images/cb_sage.png,false
saisons,images/br_saisons.png,images/cb_saisons.png,false
sale,images/br_sale.png,images/cb_sale.png,false
saumon,images/br_saumon.png,images/cb_saumon.png,false
sauver,images/br_sauver.png,images/cb_sauver.png,false
seau,images/br_seau.png,images/cb_seau.png,false
second,images/br_second.png,images/cb_second.png,false
servant,images/br_servant.png,images/cb_servant.png,false
session,images/br_session.png,images/cb_session.png,false
signé,images/br_signe.png,images/cb_signe.png,true
sincère,images/br_sincere.png,images/cb_sincere.png,false
site,images/br_site.png,images/cb_site.png,false
six,images/br_six.png,images/cb_six.png,false
sièges,images/br_sieges.png,images/cb_sieges.png,false
soigner,images/br_soigner.png,images/cb_soigner.png,false
somme,images/br_somme.png,images/cb_somme.png,true
sourd,images/br_sourd.png,images/cb_sourd.png,false
sphères,images/br_spheres.png,images/cb_spheres.png,false
sympa,images/br_sympa.png,images/cb_sympa.png,false
séjour,images/br_sejour.png,images/cb_sejour.png,false
sévère,images/br_severe.png,images/cb_severe.png,false
sûr,images/br_sur.png,images/cb_sur.png,false
taille,images/br_taille.png,images/cb_taille.png,false
tard,images/br_tard.png,images/cb_tard.png,false
tarif,images/br_tarif.png,images/cb_tarif.png,false
tasse,images/br_tasse.png,images/cb_tasse.png,false
teste,images/br_teste.png,images/cb_teste.png,false
tien,images/br_tien.png,images/cb_tien.png,true
tigre,images/br_tigre.png,images/cb_tigre.png,false
toi,images/br_toi.png,images/cb_toi.png,false
tomates,images/br_tomates.png,images/cb_tomates.png,false
