frPhr,brPhr,cbPhr,test
phrase11,images/br_phrase11.png,images/cb_phrase11.png,false
phrase12,images/br_phrase12.png,images/cb_phrase12.png,false
phrase13,images/br_phrase13.png,images/cb_phrase13.png,false
phrase14,images/br_phrase14.png,images/cb_phrase14.png,false
phrase15,images/br_phrase15.png,images/cb_phrase15.png,true
phrase16,images/br_phrase16.png,images/cb_phrase16.png,false
phrase17,images/br_phrase17.png,images/cb_phrase17.png,false
phrase18,images/br_phrase18.png,images/cb_phrase18.png,false
phrase19,images/br_phrase19.png,images/cb_phrase19.png,false
phrase20,images/br_phrase20.png,images/cb_phrase20.png,false
